 twitter_handle,Source,Type,Domain,Rating,Score,Country,Language,target_user_id,followers
catholic_proud,https://twitter.com/catholic_proud,TWITTER,catholicsay.com,N,57.0,US,en,1062413857,4661.0
CFACT,https://twitter.com/cfact,TWITTER,cfact.org,N,27.5,US,en,38532025,15063.0
CGTNOfficial,https://twitter.com/CGTNOfficial,TWITTER,cgtn.com,N,44.5,US,en,1115874631,12975019.0
charisma_news,https://twitter.com/#!/charisma_news,TWITTER,charismanews.com,N,35.0,US,en,370729020,21224.0
charliekirk11,https://twitter.com/charliekirk11,TWITTER,charliekirk.com,N,10.0,US,en,292929271,2795915.0
ChiDefender,https://twitter.com/chidefender,TWITTER,chicagodefender.com,N,57.5,US,en,160596522,8688.0
ChildrensHD,https://twitter.com/childrenshd,TWITTER,childrenshealthdefense.org,N,17.5,US,en,782018153207431168,215286.0
ChinaDailyUSA,https://twitter.com/ChinaDailyUSA,TWITTER,chinadaily.com.cn,N,44.5,US,en,1045872810038419457,2106.0
christianhlines,https://twitter.com/christianhlines,TWITTER,christianheadlines.com,N,57.0,US,en,188916113,8951.0
Church_Militant,https://twitter.com/Church_Militant,TWITTER,churchmilitant.com,N,35.0,US,en,606400487,53139.0
CitizensJourn,https://twitter.com/CitizensJourn,TWITTER,citizensjournal.us,N,7.5,US,en,1081701842470367232,660.0
NewsFromCCT,https://twitter.com/NewsFromCCT,TWITTER,clarkcountytoday.com,N,57.0,US,en,754523975867244544,2279.0
ClashDailyCom,https://twitter.com/clashdailycom,TWITTER,clashdaily.com,N,42.0,US,en,595644255,54.0
COpeakpolitics,https://twitter.com/COpeakpolitics,TWITTER,coloradopeakpolitics.com,N,57.5,US,en,238670666,9633.0
ConnersClinic,https://www.twitter.com/connersclinic,TWITTER,connersclinic.com,N,27.5,US,en,222209771,6113.0
CRBeyond,https://twitter.com/CRBeyond,TWITTER,consciousreminder.com,N,42.0,US,en,1247535087886823427,44.0
cdalerts,https://twitter.com/cdalerts,TWITTER,conservative-daily.com,N,7.5,US,en,498223316,1654.0
conserveangle,https://twitter.com/conserveangle,TWITTER,conservativeangle.com,N,7.5,US,en,976564489,628.0
ConDailyPost,https://twitter.com/ConDailyPost/,TWITTER,conservativedailypost.com,N,5.0,US,en,890966759485788160,687.0
co_firing_line,https://twitter.com/co_firing_line,TWITTER,conservativefiringline.com,N,0.0,US,en,3454726154,3150.0
ConsPolToday,https://twitter.com/conspoltoday,TWITTER,conservativepolitics2day.com,N,50.0,US,en,1021549421610377217,6153.0
ConservPost,https://twitter.com/conservpost,TWITTER,conservativepost.com,N,39.5,US,en,3233513666,417.0
CR,https://twitter.com/CR,TWITTER,conservativereview.com,N,44.5,US,en,2316003960,214308.0
ConservRoof,https://twitter.com/ConservRoof,TWITTER,conservativeroof.com,N,0.0,US,en,1379904915863134213,2022.0
USTruthWire,https://twitter.com/ustruthwire?lang=en,TWITTER,conservativewiredaily.com,N,50.0,US,en,836747320494436352,201.0
Consortiumnews,https://twitter.com/Consortiumnews,TWITTER,consortiumnews.com,N,47.5,US,en,60698597,75674.0
CopperCourier,https://twitter.com/CopperCourier,TWITTER,coppercourier.com,N,57.0,US,en,1153325872084074496,2987.0
CovertActionMag,https://twitter.com/CovertActionMag,TWITTER,covertactionmagazine.com,N,25.0,US,en,889344030781452290,15269.0
Covid19Critical,https://twitter.com/Covid19Critical,TWITTER,covid19criticalcare.com,N,17.5,US,en,1255176009764294656,237316.0
COVID19Up1,https://twitter.com/COVID19Up1,TWITTER,covid19up.org,N,7.5,US,en,1400696309976231941,9099.0
creatdestmed,https://twitter.com/creatdestmed,TWITTER,creativedestructionmedia.com,N,20.0,US,en,1647749834646999040,364.0
Crypto_Potato,https://twitter.com/Crypto_Potato,TWITTER,cryptopotato.com,N,49.5,US,en,2367079278,33351.0
Cubanoselmundo,https://twitter.com/Cubanoselmundo,TWITTER,cubanosporelmundo.com,N,57.5,US,en,71880823,114248.0
CubitaNow,https://twitter.com/CubitaNow,TWITTER,cubitanow.com,N,57.5,US,en,854040512080293888,26695.0
curiousmindmag,https://twitter.com/curiousmindmag,TWITTER,curiousmindmagazine.com,N,17.5,US,en,960441026656776192,152.0
DailyClout,https://twitter.com/dailyclout,TWITTER,dailyclout.io,N,17.5,US,en,423972447,49545.0
dailyhealthpost,https://twitter.com/dailyhealthpost,TWITTER,dailyhealthpost.com,N,20.0,US,en,905092134,9353.0
dailykos,https://twitter.com/dailykos,TWITTER,dailykos.com,N,32.5,US,en,20818801,267718.0
dailysoundnfury,https://twitter.com/dailysoundnfury,TWITTER,dailysoundandfury.com,N,49.5,US,en,990922883420614657,7598.0
realDailyWire,https://www.twitter.com/realdailywire,TWITTER,dailywire.com,N,49.5,US,en,4081106480,2124057.0
DavidJHarrisJr,https://twitter.com/DavidJHarrisJr,TWITTER,davidharrisjr.com,N,10.0,US,en,3530404094,579588.0
dctribune,https://twitter.com/dctribune,TWITTER,dctribune.org,N,32.0,US,en,986339862453288961,45.0
AmericaDefiant,https://twitter.com/AmericaDefiant,TWITTER,defiantamerica.com,N,39.5,US,en,830237549268447233,1331.0
DemocracyDocket,https://twitter.com/DemocracyDocket,TWITTER,democracydocket.com,N,39.5,US,en,841489249157468161,379363.0
realDennisLynch,https://twitter.com/realdennislynch,TWITTER,dennismichaellynch.com,N,30.0,US,en,4183248796,39362.0
DiamondandSilk,https://twitter.com/DiamondandSilk,TWITTER,diamondandsilk.com,N,52.0,US,en,2908170952,2122149.0
DiedSuddenly_,https://twitter.com/DiedSuddenly_,TWITTER,diedsuddenly.info,N,22.5,US,en,1577761560394665984,667398.0
dgaytandzhieva,https://twitter.com/dgaytandzhieva,TWITTER,dilyana.bg,N,17.5,US,en,1678273014,59864.0
DisrnNews,https://twitter.com/DisrnNews,TWITTER,disrn.com,N,57.0,US,en,1119671338594177024,14565.0
drdavidfriedman,https://twitter.com/drdavidfriedman,TWITTER,doctordavidfriedman.com,N,49.5,US,en,218504651,34053.0
