"","target_user_id","twitter_handle","fib_index","total_reshares","Source","Type","Domain","Rating","Score","Country","Language","followers","total_followers","cumulative_followers","percentage_cumulative_followers"
"1426","532048883","EasternHerald",NA,NA,"https://twitter.com/easternherald/","TWITTER","easternherald.com","N",5,"US","en",560,729856343,729842483,99.998
"1427","344431345","WTFfacts",NA,NA,"https://www.twitter.com/wtffacts","TWITTER","factswt.com","N",52,"US","en",547,729856343,729843030,99.998
"1428","737749833281216512","chicago_wire",NA,NA,"https://twitter.com/chicago_wire","TWITTER","westcooknews.com","N",49.5,"US","en",532,729856343,729843562,99.998
"1429","846315486","ntdtv_english",NA,NA,"https://twitter.com/ntdtv_english","TWITTER","ntdnews.com","N",44.5,"US","en",528,729856343,729844090,99.998
"1430","1412429980424830982","TheStarNewsNet",NA,NA,"https://twitter.com/TheStarNewsNet","TWITTER","theconnecticutstar.com","N",40,"US","en",457,729856343,729844547,99.998
"1431","1393629109314539525","usawirenews",NA,NA,"https://twitter.com/usawirenews?lang=en","TWITTER","theusawire.com","N",50,"US","en",453,729856343,729845000,99.998
"1432","3326947147","Prntly",NA,NA,"https://x.com/Prntly?s=20","TWITTER","prntly.com","N",12.5,"US","en",438,729856343,729845438,99.999
"1433","3233513666","ConservPost",NA,NA,"https://twitter.com/conservpost","TWITTER","conservativepost.com","N",39.5,"US","en",417,729856343,729845855,99.999
"1434","893872174867656706","PoliticalDig",NA,NA,"https://twitter.com/PoliticalDig","TWITTER","politicaldig.com","N",39.5,"US","en",408,729856343,729846263,99.999
"1435","14866985","jubals",NA,NA,"https://twitter.com/jubals","TWITTER","powderedwigsociety.com","N",0,"US","en",404,729856343,729846667,99.999
"1436","1594872345901998080","MosWriting",54,21629,"NaN","NaN","NaN","NaN",NA,"NaN","NaN",401,729856343,729847068,99.999
"1437","2711064734","hrtwarming",NA,NA,"https://twitter.com/hrtwarming","TWITTER","hrtwarming.com","N",52,"US","en",368,729856343,729847436,99.999
"1438","770700673688088577","_HealingOracle_",NA,NA,"https://twitter.com/_HealingOracle_","TWITTER","healingoracle.ch","N",20,"US","en",368,729856343,729847804,99.999
"1439","1647749834646999040","creatdestmed",NA,NA,"https://twitter.com/creatdestmed","TWITTER","creativedestructionmedia.com","N",20,"US","en",364,729856343,729848168,99.999
"1440","2579246143","VisionTWorld",NA,NA,"https://twitter.com/VisionTWorld","TWITTER","visiontimes.com","N",44.5,"US","en",361,729856343,729848529,99.999
"1441","29733324","YourNewsMedia",NA,NA,"https://twitter.com/YourNewsMedia","TWITTER","yournews.com","N",7.5,"US","en",351,729856343,729848880,99.999
"1442","2210919288","koumuzi0622",11,343,"NaN","NaN","NaN","NaN",NA,"NaN","NaN",337,729856343,729849217,99.999
"1443","791141046054944769","210observer",NA,NA,"https://twitter.com/210observer","TWITTER","saobserver.com","N",39.5,"US","en",332,729856343,729849549,99.999
"1444","830735349206904833","Guardemocracy",NA,NA,"https://twitter.com/Guardemocracy","TWITTER","theguardiansofdemocracy.com","N",50,"US","en",328,729856343,729849877,99.999
"1445","2571638600","VisionTimesLife",NA,NA,"https://twitter.com/VisionTimesLife","TWITTER","visiontimes.com","N",44.5,"US","en",317,729856343,729850194,99.999
"1446","91552706","20minut_zh",NA,NA,"https://x.com/20minut_zh?s=20","TWITTER","zt.20minut.ua","N",55,"US","en",304,729856343,729850498,99.999
"1447","917259934940704768","humanrights_ir",NA,NA,"https://twitter.com/humanrights_ir","TWITTER","humanrights.eadl.ir","N",15,"US","en",291,729856343,729850789,99.999
"1448","1466983790983593985","JJMAMI88",11,502,"NaN","NaN","NaN","NaN",NA,"NaN","NaN",287,729856343,729851076,99.999
"1449","537959685","justworldtweets",NA,NA,"https://twitter.com/justworldtweets?s=21","TWITTER","just-international.org","N",30,"US","en",282,729856343,729851358,99.999
"1450","967729215721402368","PlanetTodayNews",NA,NA,"https://x.com/PlanetTodayNews?s=20","TWITTER","planet-today.com","N",12.5,"US","en",281,729856343,729851639,99.999
"1451","1608576778372521984","greenmedinfo",NA,NA,"https://twitter.com/greenmedinfo","TWITTER","greenmedinfo.com","N",30,"US","en",273,729856343,729851912,99.999
"1452","1428366356244664330","anise0316",12,297,"NaN","NaN","NaN","NaN",NA,"NaN","NaN",244,729856343,729852156,99.999
"1453","1593943147557847041","HinduNarendra1",15,502,"NaN","NaN","NaN","NaN",NA,"NaN","NaN",222,729856343,729852378,99.999
"1454","1316512549932859392","ColoradoHerald",NA,NA,"https://twitter.com/ColoradoHerald","TWITTER","thecoloradoherald.com","N",7.5,"US","en",220,729856343,729852598,99.999
"1455","836747320494436352","USTruthWire",NA,NA,"https://twitter.com/ustruthwire?lang=en","TWITTER","conservativewiredaily.com","N",50,"US","en",201,729856343,729852799,100
"1456","1035750989607841793","TheMinnesotaSun",NA,NA,"https://twitter.com/TheMinnesotaSun","TWITTER","theconnecticutstar.com","N",40,"US","en",200,729856343,729852999,100
"1457","878301356532146176","Providr",NA,NA,"https://www.twitter.com/providr","TWITTER","providr.com","N",59.5,"US","en",199,729856343,729853198,100
"1458","806611837693415428","allnewspipeline",NA,NA,"https://twitter.com/allnewspipeline","TWITTER","allnewspipeline.com","N",7.5,"US","en",190,729856343,729853388,100
"1459","1634827319255908352","Thaiku789",13,4684,"NaN","NaN","NaN","NaN",NA,"NaN","NaN",183,729856343,729853571,100
"1460","1092538332981219328","VozWire",NA,NA,"https://twitter.com/vozwire","TWITTER","vozwire.com","N",55,"US","en",181,729856343,729853752,100
