,target_user_id,twitter_handle,fib_index,total_reshares,Source,Type,Domain,Rating,Score,Country,Language,followers
1503,977235875703803904,TheRightNewsNow,NaN,NaN,https://x.com/TheRightNewsNow?s=20,TWITTER,rightnewsnow.org,N,44.5,US,en,2132.0
1504,98583506,latimeralder,14.0,452.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36076.0
1505,986339862453288961,dctribune,NaN,NaN,https://twitter.com/dctribune,TWITTER,dctribune.org,N,32.0,US,en,45.0
1506,987288415858319360,IrexitFreedom,16.0,1036.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36008.0
1507,9890492,peta,NaN,NaN,https://www.twitter.com/peta,TWITTER,peta.org,N,57.0,US,en,1070713.0
1508,98956941,afbranco,17.0,1234.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45445.0
1509,98992586,jimmy_dore,30.0,8996.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,555658.0
1510,990824828260110336,ppai201003,56.0,8855.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,687.0
1511,990922883420614657,dailysoundnfury,NaN,NaN,https://twitter.com/dailysoundnfury,TWITTER,dailysoundandfury.com,N,49.5,US,en,7598.0
1512,99128675,friatider,18.0,1401.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18901.0
1513,992121772450484224,TheMODownload,NaN,NaN,https://twitter.com/TheMODownload,TWITTER,missouridownload.com,N,47.0,US,en,12.0
1514,993492864066768899,TENzenter,13.0,2249.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57861.0
