"",target_user_id,twitter_handle,fib_index,total_reshares,Source,Type,Domain,Rating,Score,Country,Language,followers
1435,802042941959045120,Therealbp65,12.0,483.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1436,806344552718045184,drsimonegold,NaN,NaN,https://twitter.com/drsimonegold,TWITTER,americasfrontlinedoctors.org,N,17.5,US,en,780437.0
1437,806347865073315844,DFBHarvard,21.0,1529.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1438,806508848852836352,PTRUMPFORTX2020,32.0,26704.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1439,806611837693415428,allnewspipeline,NaN,NaN,https://twitter.com/allnewspipeline,TWITTER,allnewspipeline.com,N,7.5,US,en,190.0
1440,808080314,rumblevideo,20.0,14231.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1441,80857088,NVICLoeDown,NaN,NaN,https://twitter.com/NVICLoeDown,TWITTER,nvic.org,N,12.5,US,en,22628.0
1442,808817799363723265,Panamadan61,14.0,710.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1443,810055220,ProudElephantUS,36.0,44057.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1444,811972460560019456,republic,29.0,11372.0,https://twitter.com/republic,TWITTER,republicworld.com,N,39.5,US,en,2851612.0
1445,812043847433916416,Krieger66362259,30.0,10369.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1446,812230714632663040,GreenWWarriors,NaN,NaN,https://twitter.com/GreenWWarriors,TWITTER,greenworldwarriors.com,N,57.5,US,en,895.0
1447,813279088865644544,IrnaEnglish,NaN,NaN,https://twitter.com/IrnaEnglish,TWITTER,en.irna.ir,N,7.5,US,en,56731.0
1448,814509223551737856,Tamama0306,45.0,10776.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1449,814858130978996224,UpliftingToday,NaN,NaN,https://www.twitter.com/UpliftingToday,TWITTER,upliftingtoday.com,N,50.0,US,en,37.0
1450,816131319033950208,RepJimBanks,15.0,739.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1451,816624933908320256,lukkana851,20.0,925.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1452,816652616625168388,RepAndyBiggsAZ,17.0,29653.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1453,818948638890217473,RepMattGaetz,24.0,28210.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1454,820723171112448001,AlternatNews,11.0,1755.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1455,821095705724866560,TheTNStar,NaN,NaN,https://twitter.com/thetnstar,TWITTER,theconnecticutstar.com,N,40.0,US,en,5210.0
1456,822504009323970561,Lisahudsonchow7,11.0,494.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1457,822547465874378752,TrumpTrackerJP,22.0,1431.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1458,823255657902129153,richardursomd,12.0,940.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1459,825501626,VivaLaAmes11,17.0,1446.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1460,825608011,JustinTHaskins,12.0,477.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1461,826065164504006657,mtgreenee,12.0,23744.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1462,827049793360904192,Tushar15_,11.0,379.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1463,828800194355437573,209TimesCA,NaN,NaN,https://twitter.com/209TimesCA,TWITTER,209times.com,N,39.5,US,en,8365.0
1464,830237549268447233,AmericaDefiant,NaN,NaN,https://twitter.com/AmericaDefiant,TWITTER,defiantamerica.com,N,39.5,US,en,1331.0
1465,830735349206904833,Guardemocracy,NaN,NaN,https://twitter.com/Guardemocracy,TWITTER,theguardiansofdemocracy.com,N,50.0,US,en,328.0
1466,831088844657135617,dramapotatoe,95.0,35143.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1467,831476294353235972,sicgom_esports,12.0,545.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1468,835040085573689346,ganaha_masako,13.0,14055.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1469,836643708313403393,RedBlueDivide,NaN,NaN,https://twitter.com/RedBlueDivide,TWITTER,redbluedivide.com,N,32.0,US,en,50.0
1470,836747320494436352,USTruthWire,NaN,NaN,https://twitter.com/ustruthwire?lang=en,TWITTER,conservativewiredaily.com,N,50.0,US,en,201.0
1471,839188766208245761,LosAngelesBlade,NaN,NaN,https://twitter.com/LosAngelesBlade,TWITTER,losangelesblade.com,N,49.5,US,en,1926.0
1472,840054480590651394,Anpo_Star,17.0,1423.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1473,840724492146073601,CEcoupe,15.0,577.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1474,841489249157468161,DemocracyDocket,NaN,NaN,https://twitter.com/DemocracyDocket,TWITTER,democracydocket.com,N,39.5,US,en,379363.0
1475,844136511079559168,IndoPac_Info,13.0,462.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1476,844554688364232704,Nicoletta0602,11.0,769.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1477,845218206750949376,VDejan0000,12.0,673.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1478,845728536,remnantnews,NaN,NaN,https://twitter.com/remnantnews,TWITTER,remnantnewspaper.com,N,17.5,US,en,39419.0
1479,845945503275610113,jjarchiv,52.0,17793.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480,846315486,ntdtv_english,NaN,NaN,https://twitter.com/ntdtv_english,TWITTER,ntdnews.com,N,44.5,US,en,528.0
1481,850036892,Project_Veritas,42.0,314585.0,https://twitter.com/Project_Veritas,TWITTER,projectveritas.com,N,44.5,US,en,1158707.0
1482,850425860800692225,ICANdecide,NaN,NaN,https://twitter.com/ICANdecide,TWITTER,icandecide.org,N,12.5,US,en,64394.0
1483,851526166100029442,NextRevFNC,11.0,332.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484,851969019372548096,MinnesotaMiners,14.0,662.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485,851985789072408576,HighWireTalk,37.0,5324.0,https://twitter.com/highwiretalk,TWITTER,thehighwire.com,N,22.5,US,en,197358.0
1486,854040512080293888,CubitaNow,NaN,NaN,https://twitter.com/CubitaNow,TWITTER,cubitanow.com,N,57.5,US,en,26695.0
1487,855483824351924224,liz_churchill8,13.0,21125.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488,856590732907433985,robinmonotti,21.0,22791.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489,856991644134068224,bigleaguepol,NaN,NaN,https://twitter.com/BigLeaguePol,TWITTER,bigleaguepolitics.com,N,12.5,US,en,66477.0
1490,857978774469529601,DollArntzen,30.0,21253.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491,85891421,YourBlackWorld,NaN,NaN,https://twitter.com/yourblackworld,TWITTER,yourblackworld.net,N,39.5,US,en,30484.0
1492,859409582426251269,emeriticus,24.0,3059.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493,860233232431939584,EndRaceHating,15.0,530.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1494,86096628,NewAmericanMag,NaN,NaN,https://twitter.com/NewAmericanMag,TWITTER,thenewamerican.com,N,47.0,US,en,16217.0
1495,861546890147487744,dilireba_,21.0,1159.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1496,861727430,srasberry1,11.0,309.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
