"",Unnamed: 0,target_user_id,twitter_handle,fib_index,total_reshares,Source,Type,Domain,Rating,Score,Country,Language,followers
378,378,2275471640,DonaldCourter,NaN,NaN,https://twitter.com/DonaldCourter,TWITTER,the-revolution-report.com,N,25.0,US,en,5463.0
379,379,2275780065,NewsWndr,NaN,NaN,https://twitter.com/newswndr,TWITTER,worldnewsdailyreport.com,N,20.0,US,en,75.0
380,380,22803269,cooltxchick,31.0,22231.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
381,381,229887759,DesertReview,NaN,NaN,https://twitter.com/DesertReview,TWITTER,thedesertreview.com,N,27.5,US,en,1714.0
382,382,23047519,MoonofA,NaN,NaN,https://twitter.com/MoonofA,TWITTER,moonofalabama.org,N,7.5,US,en,60039.0
383,383,2316003960,CR,NaN,NaN,https://twitter.com/CR,TWITTER,conservativereview.com,N,44.5,US,en,214308.0
384,384,232901331,dbongino,179.0,106495.0,https://twitter.com/dbongino,TWITTER,bongino.com,N,49.5,US,en,5010285.0
385,385,2338070737,bitcoinist,NaN,NaN,https://twitter.com/bitcoinist,TWITTER,bitcoinist.com,N,44.5,US,en,67554.0
386,386,235208822,DrMichaelMurray,NaN,NaN,https://twitter.com/DrMichaelMurray,TWITTER,doctormurray.com,N,12.5,US,en,2221.0
387,387,236696328,HealthyNews2day,NaN,NaN,https://twitter.com/HealthyNews2day,TWITTER,healthimpactnews.com,N,12.5,US,en,51937.0
388,388,2367079278,Crypto_Potato,NaN,NaN,https://twitter.com/Crypto_Potato,TWITTER,cryptopotato.com,N,49.5,US,en,33351.0
389,389,238670666,COpeakpolitics,NaN,NaN,https://twitter.com/COpeakpolitics,TWITTER,coloradopeakpolitics.com,N,57.5,US,en,9633.0
390,390,2387887890,IranFrontPage,NaN,NaN,https://twitter.com/iranfrontpage,TWITTER,ifpnews.com,N,52.0,US,en,18479.0
391,391,240454812,GenFlynn,48.0,73415.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
392,392,241622603,Baltimore_Times,NaN,NaN,https://twitter.com/Baltimore_Times,TWITTER,baltimoretimes-online.com,N,57.0,US,en,2525.0
393,393,2417586104,SebGorka,45.0,9372.0,https://twitter.com/SebGorka,TWITTER,sebgorka.com,N,32.5,US,en,1493428.0
394,394,2421067430,TeaPainUSA,70.0,14545.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
395,395,2423370157,GreatGameIndia,NaN,NaN,https://twitter.com/GreatGameIndia,TWITTER,greatgameindia.com,N,5.0,US,en,26883.0
396,396,243036224,FunkerActual,NaN,NaN,https://twitter.com/funkeractual,TWITTER,funker530.com,N,44.5,US,en,46437.0
397,397,2446935385,AFF_PATRIOT,NaN,NaN,https://twitter.com/AFF_PATRIOTS,TWITTER,americasfreedomfighters.com,N,0.0,US,en,9.0
398,398,2451343801,DCEngager,NaN,NaN,https://twitter.com/DCEngager,TWITTER,washingtonengager.com,N,7.5,US,en,2540.0
399,399,2451476942,SwarajyaMag,37.0,13842.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400,400,245227608,AltHealthWORKS,NaN,NaN,https://twitter.com/AltHealthWORKS,TWITTER,althealthworks.com,N,30.0,US,en,1288.0
401,401,2467720274,AmerIndependent,NaN,NaN,https://twitter.com/amerindependent,TWITTER,americanindependent.com,N,57.0,US,en,91346.0
402,402,24822993,tracybeanz,33.0,4025.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403,403,248859211,WhiteCoatWaste,NaN,NaN,https://twitter.com/whitecoatwaste,TWITTER,whitecoatwaste.org,N,57.0,US,en,22852.0
404,404,25101996,kimguilfoyle,39.0,11479.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405,405,2511407130,Slay_News_,NaN,NaN,https://twitter.com/Slay_News_,TWITTER,slaynews.com,N,22.0,US,en,10952.0
406,406,25202268,SaraCarterDC,NaN,NaN,https://twitter.com/SaraCarterDC,TWITTER,saraacarter.com,N,32.0,US,en,1542794.0
407,407,252398355,RMConservative,42.0,6032.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
408,408,25533583,PatriotPost,NaN,NaN,https://www.twitter.com/PatriotPost,TWITTER,patriotpost.us,N,20.0,US,en,9177.0
409,409,2559110916,FinishTheRace,NaN,NaN,https://twitter.com/FinishTheRace,TWITTER,finishtherace.com,N,12.5,US,en,5239.0
410,410,25596174,KUSINews,NaN,NaN,https://twitter.com/KUSINews,TWITTER,kusi.com,N,44.5,US,en,103273.0
411,411,2561722728,ukraina_ru,NaN,NaN,https://twitter.com/ukraina_ru,TWITTER,ukraina.ru,N,12.5,US,en,26481.0
412,412,256386408,powerlineUS,NaN,NaN,https://www.twitter.com/powerlineUS,TWITTER,powerlineblog.com,N,57.0,US,en,8887.0
413,413,2571638600,VisionTimesLife,NaN,NaN,https://twitter.com/VisionTimesLife,TWITTER,visiontimes.com,N,44.5,US,en,317.0
414,414,2579246143,VisionTWorld,NaN,NaN,https://twitter.com/VisionTWorld,TWITTER,visiontimes.com,N,44.5,US,en,361.0
415,415,26157047,DanKEberhart,40.0,7128.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
416,416,26163517,BlacklistedNews,NaN,NaN,https://twitter.com/BlacklistedNews,TWITTER,blacklistednews.com,N,15.0,US,en,68472.0
417,417,26239840,ichudov,NaN,NaN,https://twitter.com/ichudov?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,TWITTER,igor-chudov.com,N,20.0,US,en,36495.0
418,418,264361128,Liz_Wheeler,NaN,NaN,https://twitter.com/Liz_Wheeler,TWITTER,lizwheeler.com,N,29.5,US,en,949627.0
419,419,26487169,LouDobbs,56.0,12734.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
420,420,270441409,indiesentinel,NaN,NaN,https://www.twitter.com/indiesentinel,TWITTER,independentsentinel.com,N,30.0,US,en,7548.0
421,421,2711064734,hrtwarming,NaN,NaN,https://twitter.com/hrtwarming,TWITTER,hrtwarming.com,N,52.0,US,en,368.0
422,422,2739596257,RussiaInsider,NaN,NaN,https://twitter.com/russiainsider,TWITTER,russia-insider.com,N,12.5,US,en,31238.0
423,423,2745792751,VineyardSaker,NaN,NaN,https://twitter.com/vineyardsaker?lang=en,TWITTER,thesaker.is,N,20.0,US,en,2330.0
424,424,27522964,vdare,32.0,7538.0,https://twitter.com/vdare,TWITTER,vdare.com,N,30.0,US,en,68653.0
425,425,2795035766,peoplesvoice_tv,NaN,NaN,https://x.com/peoplesvoice_tv?s=20,TWITTER,thepeoplesvoice.tv,N,0.0,US,en,687.0
426,426,282695161,WayneDupreeShow,NaN,NaN,https://twitter.com/WayneDupreeShow,TWITTER,waynedupree.com,N,27.5,US,en,516878.0
427,427,2836421,MSNBC,NaN,NaN,https://twitter.com/MSNBC,TWITTER,msnbc.com,N,49.5,US,en,5086644.0
